state,pop
alabama,4858979
alaska,738432
arizona,6828065
arkansas,2978204
california,39144818
colorado,5456574
connecticut,3590886
delaware,945934
district of columbia,672228
florida,20271272
georgia,10214860
hawaii,1431603
idaho,1654930
illinois,12859995
indiana,6619680
iowa,3123899
kansas,2911641
kentucky,4425092
louisiana,4670724
maine,1329328
maryland,6006401
massachusetts,6794422
michigan,9922576
minnesota,5489594
mississippi,2992333
missouri,6083672
montana,1032949
nebraska,1896190
nevada,2890845
new hampshire,1330608
new jersey,8958013
new mexico,2085109
new york,19795791
north carolina,10042802
north dakota,756927
ohio,11613423
oklahoma,3911338
oregon,4028977
pennsylvania,12802503
rhode island,1056298
south carolina,4896146
south dakota,858469
tennessee,6600299
texas,27469114
utah,2995919
vermont,626042
virginia,8382993
washington,7170351
west virginia,1844128
wisconsin,5771337
wyoming,586107
